Model,Preprocessing,Bands,Size,Overall Accuracy,Feature Postprocessing
Resnet18 Pretrained Moco,Minmax,RGB,64,0.8674074074074074,None
Resnet18 Pretrained Moco,Minmax,RGB,256,0.9362962962962963,None
Resnet50 Pretrained Moco,Minmax,All,64,0.8327777777777777,None
Resnet50 Pretrained Moco,Minmax,All,256,0.9437037037037037,None
Resnet50 Pretrained Imagenet,Minmax,All,64,0.4885185185185185,None
Resnet50 Pretrained Imagenet,Minmax,All,256,0.5862962962962963,None
Resnet50 Random,Minmax,All,64,0.7129629629629629,None
Resnet50 Random,Minmax,All,256,0.8322222222222222,None
Resnet18 Pretrained Moco,Minmax,All,64,0.8453703703703703,None
Resnet18 Pretrained Moco,Minmax,All,256,0.9381481481481482,None
