,model_name,rgb,size,normalization,accuracy,accuracy_scaler,seed
40,resnet50_randominit,False,224,divide,0.8312962962962963,0.8446296296296296,0
41,resnet50_randominit,False,224,divide,0.827037037037037,0.8464814814814815,1
42,resnet50_randominit,False,224,divide,0.8414814814814815,0.8448148148148148,2
43,resnet50_randominit,False,224,standardization,0.8592592592592593,0.8781481481481481,0
44,resnet50_randominit,False,224,standardization,0.8583333333333333,0.8746296296296296,1
45,resnet50_randominit,False,224,standardization,0.8601851851851852,0.8627777777777778,2
46,imagestats,True,64,divide,0.7011111111111111,0.7694444444444445,0
47,imagestats,True,64,standardization,0.6966666666666667,0.7694444444444445,0
48,imagestats,True,224,divide,0.705925925925926,0.7720370370370371,0
49,imagestats,True,224,standardization,0.7125925925925926,0.7720370370370371,0
50,imagestats,False,64,divide,0.8466666666666667,0.8955555555555555,0
51,imagestats,False,64,standardization,0.8607407407407407,0.8955555555555555,0
52,imagestats,False,224,divide,0.845925925925926,0.8942592592592593,0
53,imagestats,False,224,standardization,0.8575925925925926,0.8942592592592593,0
54,mosaiks_512_3,True,64,divide,0.6764814814814815,0.6801851851851852,0
55,mosaiks_512_3,True,64,divide,0.6846296296296296,0.6914814814814815,1
56,mosaiks_512_3,True,64,divide,0.6816666666666666,0.6875925925925926,2
57,mosaiks_512_3,True,64,standardization,0.7368518518518519,0.7922222222222223,0
58,mosaiks_512_3,True,64,standardization,0.74,0.7859259259259259,1
59,mosaiks_512_3,True,64,standardization,0.737037037037037,0.7874074074074074,2
60,mosaiks_512_3,True,224,divide,0.675,0.6759259259259259,0
61,mosaiks_512_3,True,224,divide,0.6833333333333333,0.6853703703703704,1
62,mosaiks_512_3,True,224,divide,0.6796296296296296,0.6864814814814815,2
63,mosaiks_512_3,True,224,standardization,0.7044444444444444,0.7718518518518519,0
64,mosaiks_512_3,True,224,standardization,0.7066666666666667,0.7696296296296297,1
65,mosaiks_512_3,True,224,standardization,0.7012962962962963,0.7653703703703704,2
66,mosaiks_512_3,False,64,divide,0.8255555555555556,0.867037037037037,0
67,mosaiks_512_3,False,64,divide,0.825925925925926,0.87,1
68,mosaiks_512_3,False,64,divide,0.8287037037037037,0.8712962962962963,2
69,mosaiks_512_3,False,64,standardization,0.8668518518518519,0.8796296296296297,0
70,mosaiks_512_3,False,64,standardization,0.8640740740740741,0.8742592592592593,1
71,mosaiks_512_3,False,64,standardization,0.8661111111111112,0.8729629629629629,2
72,mosaiks_512_3,False,224,divide,0.8262962962962963,0.8657407407407407,0
73,mosaiks_512_3,False,224,divide,0.8255555555555556,0.8712962962962963,1
74,mosaiks_512_3,False,224,divide,0.827962962962963,0.8707407407407407,2
75,mosaiks_512_3,False,224,standardization,0.8635185185185185,0.8753703703703704,0
76,mosaiks_512_3,False,224,standardization,0.8648148148148148,0.8740740740740741,1
77,mosaiks_512_3,False,224,standardization,0.8653703703703703,0.8729629629629629,2
78,mosaiks_zca_512_3,True,64,divide,0.6492592592592593,0.6855555555555556,0
79,mosaiks_zca_512_3,True,64,divide,0.6387037037037037,0.677037037037037,1
80,mosaiks_zca_512_3,True,64,divide,0.6346296296296297,0.6762962962962963,2
81,mosaiks_zca_512_3,True,64,standardization,0.8155555555555556,0.8027777777777778,0
82,mosaiks_zca_512_3,True,64,standardization,0.8144444444444444,0.8051851851851852,1
83,mosaiks_zca_512_3,True,64,standardization,0.8140740740740741,0.8055555555555556,2
84,mosaiks_zca_512_3,True,224,divide,0.46796296296296297,0.5461111111111111,0
85,mosaiks_zca_512_3,True,224,divide,0.462037037037037,0.5555555555555556,1
86,mosaiks_zca_512_3,True,224,divide,0.4603703703703704,0.5461111111111111,2
87,mosaiks_zca_512_3,True,224,standardization,0.7570370370370371,0.779074074074074,0
88,mosaiks_zca_512_3,True,224,standardization,0.7572222222222222,0.777962962962963,1
89,mosaiks_zca_512_3,True,224,standardization,0.755,0.7794444444444445,2
90,mosaiks_zca_512_3,False,64,divide,0.9025925925925926,0.9098148148148149,0
91,mosaiks_zca_512_3,False,64,divide,0.9061111111111111,0.9112962962962963,1
92,mosaiks_zca_512_3,False,64,divide,0.9,0.9066666666666666,2
93,mosaiks_zca_512_3,False,64,standardization,0.9059259259259259,0.9107407407407407,0
94,mosaiks_zca_512_3,False,64,standardization,0.9053703703703704,0.91,1
95,mosaiks_zca_512_3,False,64,standardization,0.9064814814814814,0.9122222222222223,2
96,mosaiks_zca_512_3,False,224,divide,0.8914814814814814,0.8985185185185185,0
97,mosaiks_zca_512_3,False,224,divide,0.8898148148148148,0.8981481481481481,1
98,mosaiks_zca_512_3,False,224,divide,0.8881481481481481,0.895,2
99,mosaiks_zca_512_3,False,224,standardization,0.8951851851851852,0.9020370370370371,0
100,mosaiks_zca_512_3,False,224,standardization,0.8946296296296297,0.9024074074074074,1
101,mosaiks_zca_512_3,False,224,standardization,0.8977777777777778,0.8996296296296297,2
